duration_time,team_1_result,team_1_kills,team_1_deaths,team_1_assits,team_2_result,team_2_kills,team_2_deaths,team_2_assits
1600,1,46,21,69,0,21,46,22
2583,1,36,32,73,0,32,36,46
1102,0,6,24,8,1,24,6,23
1359,1,29,11,40,0,11,29,12
1913,0,24,45,23,1,45,24,60
1418,0,11,23,13,1,23,12,33
1421,0,9,32,7,1,32,9,42
1499,1,29,19,44,0,19,29,26
2057,1,41,22,66,0,22,41,44
2175,1,38,28,84,0,28,38,33
1456,0,10,27,7,1,27,11,37
1925,1,47,26,73,0,26,47,45
1896,1,34,21,58,0,21,34,34
1893,0,17,22,27,1,22,17,38
1414,0,14,26,25,1,26,14,44
1721,1,31,27,46,0,27,31,48
1675,0,16,30,24,1,30,16,47
2384,1,41,23,86,0,23,41,48
1545,0,22,33,49,1,33,22,40
1770,0,29,34,44,1,34,29,51
1364,0,19,33,22,1,33,20,52
1357,1,30,13,58,0,12,30,21
1856,1,49,39,57,0,39,49,50
964,0,6,19,2,1,19,6,22
951,0,4,14,6,1,13,4,10
1808,1,43,35,51,0,35,43,56
1797,0,17,35,40,1,35,17,86
2195,1,42,28,92,0,28,42,54
2289,0,29,31,38,1,31,29,52
1323,0,16,31,17,1,31,16,42
1892,0,20,34,27,1,33,20,79
998,0,4,21,4,1,21,4,29
1371,1,20,7,42,0,7,20,9
1765,1,41,32,71,0,32,41,40
1354,0,10,26,10,1,26,10,40
1373,1,31,13,44,0,12,31,20
1840,1,49,30,72,0,30,49,38
1665,1,31,29,61,0,29,31,51
2345,0,60,51,92,1,51,60,83
1752,0,18,38,30,1,38,18,53
1317,1,27,11,43,0,11,27,25
1380,1,17,3,21,0,3,17,7
1855,1,36,20,55,0,20,36,34
2104,0,28,49,57,1,49,28,78
925,0,4,16,3,1,16,4,24
2353,0,36,39,62,1,39,36,56
1600,0,15,26,17,1,26,15,40
1645,0,17,29,31,1,29,17,56
1676,1,34,25,69,0,25,34,39
1592,1,40,19,61,0,19,41,35
1668,0,25,29,45,1,29,25,55
2042,1,40,30,74,0,30,40,54
1263,1,26,12,45,0,12,26,12
1447,1,37,18,49,0,18,37,31
1468,1,27,14,68,0,14,27,20
1751,1,41,22,57,0,22,41,35
2092,1,35,34,60,0,34,35,53
2197,1,60,43,76,0,43,60,36
1222,1,27,9,34,0,9,28,10
1390,0,19,35,23,1,35,19,51
1241,1,39,13,39,0,13,39,22
915,1,26,5,23,0,5,26,9
1757,0,22,36,34,1,36,22,57
1802,0,26,33,50,1,33,26,71
1030,0,9,18,7,1,17,9,24
1940,1,40,26,61,0,26,40,49
1328,0,8,20,14,1,20,8,31
1790,1,34,18,65,0,18,34,25
1516,0,31,31,66,1,31,31,53
1502,1,39,27,89,0,27,39,34
2007,0,20,22,29,1,22,20,44
2086,0,27,39,47,1,39,27,74
1605,1,29,15,54,0,15,29,23
1021,1,16,5,19,0,4,16,5
1834,1,32,24,47,0,23,32,50
1276,1,19,7,27,0,7,19,12
1406,0,21,28,33,1,28,21,46
1802,1,36,33,62,0,33,36,42
2139,0,23,41,45,1,41,23,63
2217,0,26,53,51,1,53,26,107
1854,1,25,10,40,0,10,25,9
2068,0,39,47,66,1,47,39,75
940,0,10,17,12,1,17,10,22
1515,0,23,29,21,1,28,23,43
2472,1,45,46,60,0,46,46,58
1800,1,40,18,65,0,18,41,32
1243,0,7,22,7,1,22,7,26
1619,0,22,37,34,1,37,22,71
1670,0,13,23,17,1,23,13,39
1419,0,7,21,7,1,21,7,28
1384,0,9,22,15,1,22,9,39
1507,0,17,35,21,1,34,17,66
1966,1,37,37,66,0,37,37,71
1344,0,11,23,15,1,23,11,34
1960,0,22,31,46,1,31,23,82
2194,1,45,17,80,0,17,45,38
931,0,1,17,1,1,17,1,11
2089,1,37,38,46,0,38,37,46
1192,1,18,15,26,0,15,19,26
1826,1,28,27,34,0,27,28,41
1544,1,37,19,58,0,19,37,27
1017,1,21,7,26,0,7,21,9
1546,0,17,27,19,1,27,18,46
2037,1,39,32,71,0,32,39,49
1319,0,6,33,9,1,33,6,42
1516,1,35,23,54,0,21,36,41
1392,0,12,23,14,1,23,12,53
1231,1,26,16,29,0,16,26,12
861,0,12,13,16,1,13,12,16
2427,1,24,23,41,0,23,24,36
1500,0,14,27,18,1,27,14,53
1950,0,35,41,47,1,41,35,76
927,0,4,16,6,1,16,4,17
1877,1,24,17,69,0,17,24,32
2353,1,38,33,65,0,33,38,40
1694,1,32,22,55,0,22,33,30
1331,0,17,31,17,1,31,17,33
1480,0,22,29,34,1,29,22,40
1489,1,28,14,45,0,14,28,22
1418,1,41,16,60,0,16,41,21
621,0,6,10,7,1,10,6,10
943,1,16,10,16,0,10,16,4
1868,0,25,41,43,1,40,25,63
2225,0,16,29,31,1,29,16,36
1970,0,22,35,41,1,35,22,58
913,1,20,7,17,0,6,20,5
1247,1,26,20,32,0,20,27,19
1270,0,16,30,21,1,30,16,46
1441,1,35,8,55,0,8,35,9
1669,1,26,15,27,0,15,26,20
967,0,9,21,8,1,21,9,26
1837,0,30,27,31,1,27,30,44
1360,0,15,29,22,1,29,15,36
1071,0,8,36,7,1,36,8,51
1234,1,16,13,23,0,13,16,16
2095,0,17,33,35,1,33,17,59
938,0,5,15,3,1,15,5,14
1388,1,31,18,31,0,17,31,19
1911,1,52,27,93,0,27,52,34
2108,0,21,32,49,1,32,21,52
934,1,26,5,38,0,5,26,6
1210,1,35,10,46,0,10,35,13
944,0,8,22,12,1,22,8,25
617,0,2,10,1,1,10,2,9
1201,0,9,15,9,1,15,9,9
2124,0,26,45,38,1,45,26,68
2199,0,27,43,55,1,43,27,73
1955,0,28,36,46,1,36,28,68
1506,0,24,35,36,1,35,24,54
1434,0,10,25,15,1,25,10,62
1441,1,36,21,44,0,21,36,20
1855,0,29,41,39,1,41,29,55
1460,0,13,21,16,1,21,13,42
854,0,6,25,5,1,25,6,18
1415,0,10,29,8,1,29,10,49
1500,0,16,33,19,1,33,16,36
1614,1,26,26,38,0,26,26,34
1246,0,9,35,12,1,35,9,40
2207,0,31,49,58,1,49,31,91
1122,0,6,31,11,1,31,6,38
969,1,18,8,30,0,8,18,7
912,1,29,12,25,0,12,29,14
920,1,22,8,24,0,8,22,15
1887,0,24,32,43,1,32,24,60
1939,0,26,29,41,1,29,26,58
2315,1,43,35,76,0,35,43,51
1387,0,11,16,14,1,16,11,33
927,0,2,12,2,1,12,2,13
1474,0,21,38,26,1,38,21,55
1468,0,14,44,18,1,44,14,41
1743,0,23,33,45,1,33,24,49
1594,1,21,15,37,0,15,21,19
